seed,budget_id,client_id,modal_alpha,modal_frequency,median_alpha,percentile_5,percentile_95,instability
1,false_positive_0p0025,Provision_PT_737E_Security_Camera,0.003147229058161292,0.066,0.0024545368255752074,0.0014929729937592485,0.0033543073000282665,0.9339999999999999
1,false_positive_0p0025,Provision_PT_838_Security_Camera,0.0017989581158167555,0.078,0.0017439185689487981,0.0012390329382863192,0.0023794396938173435,0.922
1,false_positive_0p0025,SimpleHome_XCS7_1002_WHT_Security_Camera,0.002167654951556903,0.1,0.002306640176476789,0.001403014798522277,0.003147229058161292,0.9
1,false_positive_0p0025,SimpleHome_XCS7_1003_WHT_Security_Camera,0.0005190713408839703,0.426,0.0007774278625536144,0.0005190713408839703,0.0013295577558221062,0.5740000000000001
1,false_positive_0p0025,Samsung_SNH_1011_N_Webcam,0.003454720383954872,0.12,0.003563754284891536,0.002611916279593795,0.0044296733570729436,0.88
1,false_positive_0p005,Danmini_Doorbell,0.00020435325068186532,0.182,0.000606319172389986,0.00020435325068186532,0.005174232657970618,0.8180000000000001
1,false_positive_0p005,Ennio_Doorbell,0.005505992973070277,0.076,0.006431464886756847,0.004569477599477056,0.013557708855254222,0.924
1,false_positive_0p005,Ecobee_Thermostat,0.0007774278625536144,0.42,0.0011643757492860373,0.0007774278625536144,0.002306640176476789,0.5800000000000001
1,false_positive_0p005,Philips_B120N10_Baby_Monitor,0.003147229058161292,0.034,0.004294146458362655,0.001974720351693796,0.01057371263440564,0.966
1,false_positive_0p005,Provision_PT_737E_Security_Camera,0.003147229058161292,0.122,0.003454720383954872,0.002690228854786977,0.004294146458362655,0.878
1,false_positive_0p005,Provision_PT_838_Security_Camera,0.0022360679774997894,0.07,0.0025,0.0015400924857617558,0.0039119410579585324,0.9299999999999999
1,false_positive_0p005,SimpleHome_XCS7_1002_WHT_Security_Camera,0.002306640176476789,0.106,0.002306640176476789,0.0015400924857617558,0.0032516814788786635,0.894
1,false_positive_0p005,SimpleHome_XCS7_1003_WHT_Security_Camera,0.0005190713408839703,0.378,0.0007774278625536144,0.0005190713408839703,0.0015400924857617558,0.622
1,false_positive_0p005,Samsung_SNH_1011_N_Webcam,0.003454720383954872,0.092,0.0039119410579585324,0.0028671063483278964,0.011606788033885233,0.908
1,false_positive_0p010,Danmini_Doorbell,0.004862462362330365,0.124,0.004788078272247297,0.003563754284891536,0.00604394081474681,0.876
1,false_positive_0p010,Ennio_Doorbell,0.013985601628028964,0.118,0.013557708855254222,0.00933787601371104,0.016851953557426417,0.882
1,false_positive_0p010,Ecobee_Thermostat,0.0007774278625536144,0.424,0.0011643757492860373,0.0007774278625536144,0.002306640176476789,0.5760000000000001
1,false_positive_0p010,Philips_B120N10_Baby_Monitor,0.010907427959462626,0.168,0.010907427959462626,0.009052181499767073,0.012740797213004081,0.832
1,false_positive_0p010,Provision_PT_737E_Security_Camera,0.003147229058161292,0.124,0.003454720383954872,0.002611916279593795,0.0044296733570729436,0.876
1,false_positive_0p010,Provision_PT_838_Security_Camera,0.003454720383954872,0.082,0.003454720383954872,0.001914303317860402,0.004569477599477056,0.918
1,false_positive_0p010,SimpleHome_XCS7_1002_WHT_Security_Camera,0.002101335038241075,0.052,0.0029575946526810793,0.0016388397980945052,0.00933787601371104,0.948
1,false_positive_0p010,SimpleHome_XCS7_1003_WHT_Security_Camera,0.0005190713408839703,0.35,0.0007774278625536144,0.0005190713408839703,0.0018140769619379576,0.65
1,false_positive_0p010,Samsung_SNH_1011_N_Webcam,0.012350989524223123,0.08,0.012350989524223123,0.007994178716696814,0.015836549169952394,0.92
1,false_positive_0p020,Danmini_Doorbell,0.005174232657970618,0.134,0.004862462362330365,0.0037922543007677272,0.00604394081474681,0.866
1,false_positive_0p020,Ennio_Doorbell,0.015352026221584282,0.098,0.015836549169952394,0.012721306828565034,0.02375627799447477,0.902
1,false_positive_0p020,Ecobee_Thermostat,0.0007774278625536144,0.396,0.0011643757492860373,0.0007774278625536144,0.002306640176476789,0.604
1,false_positive_0p020,Philips_B120N10_Baby_Monitor,0.013142907562550378,0.114,0.012545893368613602,0.010250207408245643,0.014426999059072134,0.886
1,false_positive_0p020,Provision_PT_737E_Security_Camera,0.014426999059072134,0.138,0.014426999059072134,0.0032465582724578485,0.016851953557426417,0.862
1,false_positive_0p020,Provision_PT_838_Security_Camera,0.003454720383954872,0.054,0.00422845624768601,0.002779386554939285,0.009936599900604321,0.946
